OrigZoneNo,DestZoneNo,Index,Path_Volume,Path_UnloadedTime,Path_UnloadedSpeed,Path_LoadedTime,Path_LoadedSpeed,Links_Count,Links_MinCarCapacity,Links_MaxCarCapacity,Links_AvgCarCapacity,Links_SumCarCapacity,Links_MinLength,Links_MaxLength,Links_AvgLength,Links_SumLength,Links_MinOfCars,Links_MaxOfCars,Links_AvgOfCars,Links_SumOfCars,Links_MinLoadedSpeed,Links_MaxLoadedSpeed,Links_AvgLoadedSpeed,Links_MinUnloadedTime,Links_MaxUnloadedTime,Links_AvgUnloadedTime,Links_SumUnloadedTime,Links_MinLoadedTime,Links_MaxLoadedTime,Links_AvgLoadedTime,Links_SumLoadedTime,Links_ToNodeNo,Links_FromNodeNo
10,500,1,9279.0,14min 7s,43km/h,21min 7s,29km/h,36,500,4200,1775,63900,0.019km,1.358km,0.258km,9.274km,129,5823,1451,52228,16km/h,60km/h,36km/h,1s,1min 21s,18s,11min 2s,2s,1min 35s,25s,15min 8s,"3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,991,1000718,156604514,988,986,1000313,429,1000309,428,427,426,410,2715,1000348,1124,2724,401,1000356,1000355,1001,1000354,2804,309,2627,1149","3401,3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,991,1000718,156604514,988,986,1000313,429,1000309,428,427,426,410,2715,1000348,1124,2724,401,1000356,1000355,1001,1000354,2804,309,2627"
10,500,2,4981.0,14min 44s,43km/h,21min 7s,30km/h,38,500,4200,1568,59600,0.019km,1.358km,0.246km,9.362km,129,5823,1269,48234,12km/h,60km/h,34km/h,2s,1min 21s,18s,11min 19s,2s,1min 35s,25s,15min 49s,"3411,2647,2644,132,1000053,133,940,3335,2631,156604572,110,10000675,984,991,1000718,156604514,988,986,1000313,429,1000309,428,427,426,410,2715,1000348,1124,2724,401,1000356,1000355,1001,1000354,2804,309,2627,1149","3072,3411,2647,2644,132,1000053,133,940,3335,2631,156604572,110,10000675,984,991,1000718,156604514,988,986,1000313,429,1000309,428,427,426,410,2715,1000348,1124,2724,401,1000356,1000355,1001,1000354,2804,309,2627"
10,500,3,4216.0,14min 38s,43km/h,21min 7s,30km/h,34,500,4200,1341,45600,0.019km,1.358km,0.273km,9.297km,129,5823,1077,36609,12km/h,60km/h,34km/h,2s,1min 21s,20s,11min 18s,2s,1min 35s,28s,15min 54s,"3411,2647,2644,132,1000053,133,940,3335,2631,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,2715,1000348,1124,2724,401,1000356,1000355,1001,1000354,2804,309,2627,1149","3072,3411,2647,2644,132,1000053,133,940,3335,2631,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,2715,1000348,1124,2724,401,1000356,1000355,1001,1000354,2804,309,2627"
10,500,4,0.492,13min 57s,42km/h,21min 7s,28km/h,36,500,4200,1375,49500,0.016km,1.358km,0.250km,8.985km,142,5823,1100,39608,12km/h,59km/h,34km/h,1s,1min 21s,18s,10min 44s,2s,1min 35s,26s,15min 23s,"3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,2715,1000348,1124,2724,401,1000356,1000355,1001,1000354,2804,309,2806,306,1177","3072,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,2715,1000348,1124,2724,401,1000356,1000355,1001,1000354,2804,309,2806,306"
10,500,5,2004.0,14min 37s,43km/h,21min 7s,30km/h,35,500,4200,1383,48400,0.016km,1.358km,0.266km,9.312km,129,5823,1118,39128,12km/h,60km/h,34km/h,1s,1min 21s,19s,11min 19s,2s,1min 35s,27s,15min 56s,"3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,2715,1000348,1124,2724,401,1000356,1000355,1001,1000354,2804,309,2627,1149","3072,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,2715,1000348,1124,2724,401,1000356,1000355,1001,1000354,2804,309,2627"
10,500,6,0.005,13min 47s,40km/h,21min 7s,26km/h,35,500,4200,1377,48200,0.016km,1.358km,0.250km,8.737km,109,5823,1123,39321,12km/h,59km/h,33km/h,1s,1min 21s,18s,10min 32s,2s,1min 35s,26s,15min 10s,"3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,2715,1000348,1124,2724,401,1000356,1000355,1001,1000354,2804,309,2806,3204","3072,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,2715,1000348,1124,2724,401,1000356,1000355,1001,1000354,2804,309,2806"
10,510,1,16941.0,9min 32s,37km/h,14min 58s,23km/h,26,500,4200,1842,47900,0.019km,0.790km,0.209km,5.443km,124,5823,1377,35815,16km/h,59km/h,34km/h,1s,57s,16s,6min 52s,2s,1min 33s,23s,9min 52s,"3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,409,10000669,1000304,407,408,2718,2720","3401,3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,409,10000669,1000304,407,408,2718"
10,510,2,0.047,10min 3s,56km/h,14min 58s,38km/h,31,500,4200,2442,75700,0.016km,1.062km,0.272km,8.430km,129,5823,1676,51965,12km/h,80km/h,42km/h,1s,1min 13s,16s,8min 29s,2s,1min 13s,22s,11min 33s,"3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,3500,416,415,405,404","3072,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,3500,416,415,405"
10,520,1,51380.0,6min 11s,36km/h,10min 7s,22km/h,23,500,4200,1639,37700,0.007km,0.398km,0.130km,2.979km,224,5823,1517,34895,12km/h,42km/h,25km/h,0h,45s,12s,4min 25s,1s,54s,20s,7min 35s,"3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,2641,156604530,431,3320,156604535,2634,2736,3050","3072,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,2641,156604530,431,3320,156604535,2634,2736"
10,520,2,10426.0,5min 35s,36km/h,10min 7s,20km/h,20,500,4200,1960,39200,0.007km,0.398km,0.144km,2.876km,286,5823,1819,36370,16km/h,42km/h,28km/h,0h,45s,12s,4min 7s,1s,54s,21s,6min 52s,"3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,991,2641,156604530,431,3320,156604535,2634,2736,3050","3401,3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,991,2641,156604530,431,3320,156604535,2634,2736"
10,520,3,1904.0,6min 37s,37km/h,10min 7s,24km/h,24,500,4200,1592,38200,0.007km,0.398km,0.129km,3.095km,201,5823,1462,35078,12km/h,42km/h,26km/h,0h,45s,12s,4min 39s,1s,54s,20s,7min 50s,"2643,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,2641,156604530,431,3320,156604535,2634,2736,3050","3412,2643,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,2641,156604530,431,3320,156604535,2634,2736"
10,520,4,0.526,5min 40s,37km/h,10min 7s,21km/h,23,500,4200,1652,38000,0.007km,0.398km,0.119km,2.730km,224,5823,1524,35061,12km/h,42km/h,25km/h,0h,30s,10s,3min 55s,1s,54s,18s,6min 59s,"3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,2641,156604530,431,3320,156604535,2634,2736,2992","3072,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,2641,156604530,431,3320,156604535,2634,2736"
10,530,1,44121.0,6min 45s,35km/h,12min 33s,19km/h,19,500,4200,1784,33900,0.019km,0.790km,0.196km,3.719km,341,5823,1740,33061,11km/h,41km/h,26km/h,1s,57s,16s,5min 8s,2s,1min 33s,28s,8min 55s,"3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,435,434,2738","3401,3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,435,434"
10,530,2,3336.0,7min 3s,36km/h,12min 33s,20km/h,20,500,4200,1455,29100,0.019km,0.790km,0.177km,3.538km,181,5823,1450,28995,11km/h,41km/h,23km/h,2s,57s,15s,4min 53s,2s,1min 33s,27s,9min 3s,"3411,2647,2644,132,1000053,133,940,3335,2631,156604572,110,10000675,984,986,1000313,429,1000309,428,435,1000455","3072,3411,2647,2644,132,1000053,133,940,3335,2631,156604572,110,10000675,984,986,1000313,429,1000309,428,435"
10,530,3,0.376,7min 28s,37km/h,12min 33s,22km/h,22,500,4200,1473,32400,0.016km,0.790km,0.167km,3.668km,201,5823,1441,31697,11km/h,41km/h,24km/h,1s,57s,14s,5min 8s,2s,1min 33s,25s,9min 19s,"2643,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,435,1000455","3412,2643,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,435"
10,540,1,17391.0,8min 19s,38km/h,13min 5s,24km/h,23,500,4200,1591,36600,0.019km,0.790km,0.202km,4.642km,138,5823,1325,30482,12km/h,59km/h,30km/h,2s,57s,15s,5min 44s,2s,1min 33s,24s,9min 5s,"3411,2647,2644,132,1000053,133,940,3335,2631,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,409,3375","3072,3411,2647,2644,132,1000053,133,940,3335,2631,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,409"
10,540,2,0.278,8min 14s,39km/h,13min 5s,25km/h,25,500,4200,1596,39900,0.016km,0.790km,0.187km,4.685km,224,5823,1377,34421,12km/h,59km/h,31km/h,1s,57s,13s,5min 37s,2s,1min 33s,22s,9min 6s,"3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,2715,1000348,1124","3072,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,2715,1000348"
10,540,3,0.051,8min 18s,38km/h,13min 5s,24km/h,24,500,4200,1642,39400,0.016km,0.790km,0.194km,4.656km,138,5823,1375,33000,12km/h,59km/h,30km/h,1s,57s,14s,5min 45s,2s,1min 33s,23s,9min 7s,"3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,409,3375","3072,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,409"
10,550,1,43548.0,7min 27s,38km/h,12min 27s,23km/h,26,500,4200,1977,51400,0.016km,0.619km,0.166km,4.306km,224,5823,1715,44591,12km/h,69km/h,29km/h,1s,1min 14s,14s,5min 54s,2s,1min 57s,22s,9min 36s,"3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,156604584,443,445,2993","3072,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,156604584,443,445"
10,550,2,64249.0,6min 37s,35km/h,12min 27s,19km/h,18,500,4200,1828,32900,0.019km,0.790km,0.189km,3.398km,366,5823,1659,29858,16km/h,38km/h,26km/h,1s,57s,16s,4min 54s,2s,1min 33s,27s,7min 58s,"3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,986,1000313,429,448,447,2701,2983","3401,3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,986,1000313,429,448,447,2701"
10,550,3,10930.0,6min 19s,39km/h,12min 26s,20km/h,21,500,4200,1810,38000,0.015km,0.398km,0.128km,2.691km,181,5823,1735,36431,12km/h,51km/h,24km/h,2s,37s,11s,3min 51s,2s,1min 3s,20s,7min 9s,"3411,2647,2644,132,1000053,133,940,3335,2631,156604572,110,10000675,984,991,1000718,156604514,988,989,3416,3414,2979","3072,3411,2647,2644,132,1000053,133,940,3335,2631,156604572,110,10000675,984,991,1000718,156604514,988,989,3416,3414"
10,550,4,0.491,7min 39s,36km/h,12min 27s,22km/h,22,500,4200,1450,31900,0.016km,0.790km,0.164km,3.616km,201,5823,1298,28566,12km/h,38km/h,24km/h,1s,57s,15s,5min 26s,2s,1min 33s,24s,8min 55s,"2643,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,986,1000313,429,448,447,2701,2983","3412,2643,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,986,1000313,429,448,447,2701"
10,550,5,1389.0,7min 13s,36km/h,12min 27s,21km/h,21,500,4200,1495,31400,0.016km,0.790km,0.167km,3.501km,224,5823,1352,28383,12km/h,38km/h,24km/h,1s,57s,15s,5min 12s,2s,1min 33s,25s,8min 41s,"3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,986,1000313,429,448,447,2701,2983","3072,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,986,1000313,429,448,447,2701"
10,550,6,1022.0,8min 34s,49km/h,12min 27s,34km/h,30,500,4200,2197,65900,0.016km,0.885km,0.198km,5.951km,128,5823,1656,49688,12km/h,75km/h,37km/h,1s,40s,12s,6min 15s,2s,51s,19s,9min 19s,"3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,455,454,2703,3002","3072,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,455,454,2703"
10,560,1,76446.0,8min 52s,49km/h,13min 36s,32km/h,31,500,4200,2190,67900,0.016km,0.885km,0.217km,6.715km,224,5823,1665,51609,12km/h,75km/h,36km/h,1s,40s,14s,7min 16s,2s,51s,21s,10min 47s,"3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,3500,422,2710,2638,425","3072,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,3500,422,2710,2638"
10,560,2,0.255,9min 12s,49km/h,13min 36s,33km/h,31,500,4200,2181,67600,0.016km,0.885km,0.214km,6.648km,111,5823,1645,50986,12km/h,75km/h,37km/h,1s,40s,14s,7min 8s,2s,51s,20s,10min 21s,"3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,3500,422,2710,2711,3029","3072,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,3500,422,2710,2711"
10,570,1,10733.0,7min 58s,51km/h,15min 39s,26km/h,28,500,4200,2557,71600,0.019km,0.885km,0.232km,6.509km,308,5823,1900,53197,14km/h,78km/h,41km/h,1s,40s,14s,6min 41s,2s,51s,21s,9min 44s,"3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,3500,416,420,3567,1000357","3401,3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,3500,416,420,3567"
10,580,1,22578.0,8min 29s,58km/h,15min 18s,32km/h,28,500,4200,2757,77200,0.019km,1.062km,0.279km,7.825km,366,5823,1920,53756,16km/h,80km/h,45km/h,1s,48s,15s,7min 11s,2s,51s,21s,9min 51s,"3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,3500,416,415,405,1000459","3401,3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,3500,416,415,405"
10,580,2,13490.0,11min 4s,52km/h,15min 18s,38km/h,31,500,4200,2558,79300,0.019km,1.062km,0.285km,8.824km,59,5823,1740,53933,16km/h,80km/h,44km/h,1s,1min 18s,18s,9min 11s,2s,1min 19s,23s,11min 51s,"3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,3500,416,415,405,1000459,1000458,3568,1940417","3401,3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,3500,416,415,405,1000459,1000458,3568"
10,580,3,0.029,12min 6s,51km/h,15min 18s,40km/h,35,500,4200,2237,78300,0.016km,1.062km,0.258km,9.043km,59,5823,1504,52641,12km/h,80km/h,40km/h,1s,1min 18s,17s,9min 43s,2s,1min 19s,22s,12min 49s,"2643,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,3500,416,415,405,1000459,1000458,3568,1940417","3412,2643,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,3500,416,415,405,1000459,1000458,3568"
10,580,4,0.057,11min 40s,51km/h,15min 18s,39km/h,34,500,4200,2288,77800,0.016km,1.062km,0.263km,8.927km,59,5823,1543,52458,12km/h,80km/h,41km/h,1s,1min 18s,17s,9min 29s,2s,1min 19s,22s,12min 34s,"3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,3500,416,415,405,1000459,1000458,3568,1940417","3072,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,156604589,456,3500,416,415,405,1000459,1000458,3568"
10,590,1,0.133,5min 28s,34km/h,9min 54s,19km/h,17,500,4200,1918,32600,0.007km,0.658km,0.159km,2.704km,6,5823,1882,31988,16km/h,38km/h,26km/h,0h,1min 19s,14s,4min 3s,1s,1min 19s,22s,6min 11s,"3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,991,2641,156604530,431,1128,441","3401,3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,991,2641,156604530,431,1128"
10,590,2,0.026,6min 4s,34km/h,9min 53s,21km/h,20,500,4200,1555,31100,0.007km,0.658km,0.140km,2.807km,6,5823,1526,30513,12km/h,38km/h,24km/h,0h,1min 19s,13s,4min 21s,1s,1min 19s,21s,6min 54s,"3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,2641,156604530,431,1128,441","3072,3411,2647,2644,132,1000053,133,940,3335,2631,3715,156604572,110,10000675,984,991,2641,156604530,431,1128"
10,600,1,0.128,5min 45s,45km/h,10min 33s,25km/h,22,500,4200,2609,57400,0.019km,0.493km,0.171km,3.759km,6,5823,2142,47133,16km/h,75km/h,37km/h,1s,38s,12s,4min 24s,2s,51s,19s,6min 54s,"3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586,442","3401,3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,991,1000718,156604514,988,989,985,156604587,156604585,444,156604586"
10,610,1,0.452,19min 3s,37km/h,27min 9s,26km/h,37,500,4200,1451,53700,0.010km,1.358km,0.309km,11.429km,23,5823,1098,40614,16km/h,60km/h,37km/h,1s,2min 11s,24s,14min 31s,1s,2min 11s,30s,18min 42s,"3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,2715,1000348,1124,2724,401,1000356,1000355,1001,1000354,2804,309,2627,1000710,156604578,313,3570,3571,3572","3401,3400,3068,156604566,3714,944,156604570,3715,156604572,110,10000675,984,986,1000313,429,1000309,428,427,426,410,2715,1000348,1124,2724,401,1000356,1000355,1001,1000354,2804,309,2627,1000710,156604578,313,3570,3571"
